"Statistic","Year","Electoral Division","UNIT","VALUE"
"Household median gross income","2016","037 Clontarf East A, Dublin City","Euro","56483"
"Household median gross income","2016","038 Clontarf East B, Dublin City","Euro","68864"
"Household median gross income","2016","039 Clontarf East C, Dublin City","Euro","70556"
"Household median gross income","2016","040 Clontarf East D, Dublin City","Euro","69150"
"Household median gross income","2016","041 Clontarf East E, Dublin City","Euro","74484"
"Household median gross income","2016","042 Clontarf West A, Dublin City","Euro","58613"
"Household median gross income","2016","043 Clontarf West B, Dublin City","Euro","42873"
"Household median gross income","2016","044 Clontarf West C, Dublin City","Euro","66068"
"Household median gross income","2016","045 Clontarf West D, Dublin City","Euro","48075"
"Household median gross income","2016","046 Clontarf West E, Dublin City","Euro","62601"
"Household median gross income","2016","047 Drumcondra South A, Dublin City","Euro","63028"
"Household median gross income","2016","048 Drumcondra South B, Dublin City","Euro","48970"
"Household median gross income","2016","049 Drumcondra South C, Dublin City","Euro","55909"
"Household median gross income","2016","050 Edenmore, Dublin City","Euro","37756"
"Household median gross income","2016","051 Finglas North A, Dublin City","Euro","37594"
"Household median gross income","2016","052 Finglas North B, Dublin City","Euro","35123"
"Household median gross income","2016","053 Finglas North C, Dublin City","Euro","45740"
"Household median gross income","2016","054 Finglas South A, Dublin City","Euro","35349"
"Household median gross income","2016","055 Finglas South B, Dublin City","Euro","37717"
"Household median gross income","2016","056 Finglas South C, Dublin City","Euro","35801"
"Household median gross income","2016","057 Finglas South D, Dublin City","Euro","38353"
"Household median gross income","2016","058 Grace Park, Dublin City","Euro","62220"
"Household median gross income","2016","059 Grange A, Dublin City","Euro","56740"
"Household median gross income","2016","060 Grange B, Dublin City","Euro","52073"
"Household median gross income","2016","061 Grange C, Dublin City","Euro","42326"
"Household median gross income","2016","062 Grange D, Dublin City","Euro","49145"
"Household median gross income","2016","063 Grange E, Dublin City","Euro","42679"
"Household median gross income","2016","064 Harmonstown A, Dublin City","Euro","45732"
"Household median gross income","2016","065 Harmonstown B, Dublin City","Euro","50960"
"Household median gross income","2016","066 Inns Quay A, Dublin City","Euro","41620"
"Household median gross income","2016","067 Inns Quay B, Dublin City","Euro","33680"
"Household median gross income","2016","068 Inns Quay C, Dublin City","Euro","32561"
"Household median gross income","2016","069 Kilmore A, Dublin City","Euro","53567"
"Household median gross income","2016","070 Kilmore B, Dublin City","Euro","35158"
"Household median gross income","2016","071 Kilmore C, Dublin City","Euro","34210"
"Household median gross income","2016","072 Kilmore D, Dublin City","Euro","43228"
"Household median gross income","2016","073 Mountjoy A, Dublin City","Euro","31890"
"Household median gross income","2016","074 Mountjoy B, Dublin City","Euro","29090"
"Household median gross income","2016","075 North City, Dublin City","Euro","44053"
"Household median gross income","2016","076 North Dock A, Dublin City","Euro","44197"
"Household median gross income","2016","077 North Dock B, Dublin City","Euro","56062"
"Household median gross income","2016","078 North Dock C, Dublin City","Euro","48549"
"Household median gross income","2016","079 Phoenix Park, Dublin City","Euro","60561"
"Household median gross income","2016","080 Priorswood A, Dublin City","Euro","48724"
"Household median gross income","2016","081 Priorswood B, Dublin City","Euro","38195"
"Household median gross income","2016","082 Priorswood C, Dublin City","Euro","37776"
"Household median gross income","2016","083 Priorswood D, Dublin City","Euro","38127"
"Household median gross income","2016","084 Priorswood E, Dublin City","Euro","47092"
"Household median gross income","2016","085 Raheny-Foxfield, Dublin City","Euro","56204"
"Household median gross income","2016","086 Raheny-Greendale, Dublin City","Euro","43275"
"Household median gross income","2016","087 Raheny-St. Assam, Dublin City","Euro","58684"
"Household median gross income","2016","088 Rotunda A, Dublin City","Euro","30822"
"Household median gross income","2016","089 Rotunda B, Dublin City","Euro","33021"
"Household median gross income","2016","090 Whitehall A, Dublin City","Euro","53018"
"Household median gross income","2016","091 Whitehall B, Dublin City","Euro","45957"
"Household median gross income","2016","092 Whitehall C, Dublin City","Euro","48169"
"Household median gross income","2016","093 Whitehall D, Dublin City","Euro","50770"
"Household median gross income","2016","094 Chapelizod, Dublin City","Euro","57021"
"Household median gross income","2016","095 Cherry Orchard A, Dublin City","Euro","38117"
"Household median gross income","2016","096 Carna, Dublin City","Euro","35044"
"Household median gross income","2016","097 Cherry Orchard C, Dublin City","Euro","41881"
"Household median gross income","2016","098 Crumlin A, Dublin City","Euro","41041"
"Household median gross income","2016","099 Crumlin B, Dublin City","Euro","38444"
"Household median gross income","2016","100 Crumlin C, Dublin City","Euro","42066"
"Household median gross income","2016","101 Crumlin D, Dublin City","Euro","40746"
"Household median gross income","2016","102 Crumlin E, Dublin City","Euro","38083"
"Household median gross income","2016","103 Crumlin F, Dublin City","Euro","45259"
"Household median gross income","2016","104 Decies, Dublin City","Euro","34826"
"Household median gross income","2016","105 Drumfinn, Dublin City","Euro","36250"
"Household median gross income","2016","106 Inchicore A, Dublin City","Euro","41553"
"Household median gross income","2016","107 Inchicore B, Dublin City","Euro","30084"
"Household median gross income","2016","108 Kilmainham A, Dublin City","Euro","35193"
"Household median gross income","2016","109 Kilmainham B, Dublin City","Euro","56245"
"Household median gross income","2016","110 Kilmainham C, Dublin City","Euro","42591"
"Household median gross income","2016","111 Kimmage A, Dublin City","Euro","39108"
"Household median gross income","2016","112 Kimmage B, Dublin City","Euro","39006"
"Household median gross income","2016","113 Kimmage C, Dublin City","Euro","56043"
"Household median gross income","2016","114 Kimmage D, Dublin City","Euro","44424"
"Household median gross income","2016","115 Kimmage E, Dublin City","Euro","45051"
"Household median gross income","2016","116 Kylemore, Dublin City","Euro","35168"
"Household median gross income","2016","117 Mansion House A, Dublin City","Euro","35885"
"Household median gross income","2016","118 Mansion House B, Dublin City","Euro","57247"
"Household median gross income","2016","119 Merchants Quay A, Dublin City","Euro","32881"
"Household median gross income","2016","120 Merchants Quay B, Dublin City","Euro","42329"
"Household median gross income","2016","121 Merchants Quay C, Dublin City","Euro","37692"
"Household median gross income","2016","122 Merchants Quay D, Dublin City","Euro","52524"
"Household median gross income","2016","123 Merchants Quay E, Dublin City","Euro","47353"
"Household median gross income","2016","124 Merchants Quay F, Dublin City","Euro","36526"
"Household median gross income","2016","125 Pembroke East A, Dublin City","Euro","52841"
"Household median gross income","2016","126 Pembroke East B, Dublin City","Euro","76865"
"Household median gross income","2016","127 Pembroke East C, Dublin City","Euro","80154"
"Household median gross income","2016","128 Pembroke East D, Dublin City","Euro","69820"
"Household median gross income","2016","129 Pembroke East E, Dublin City","Euro","89620"
"Household median gross income","2016","130 Pembroke West A, Dublin City","Euro","78000"
"Household median gross income","2016","131 Pembroke West B, Dublin City","Euro","85780"
"Household median gross income","2016","132 Pembroke West C, Dublin City","Euro","67714"
"Household median gross income","2016","133 Rathfarnham, Dublin City","Euro","72432"
"Household median gross income","2016","134 Rathmines East A, Dublin City","Euro","63520"
"Household median gross income","2016","135 Rathmines East B, Dublin City","Euro","88134"
"Household median gross income","2016","136 Rathmines East C, Dublin City","Euro","79917"
"Household median gross income","2016","137 Rathmines East D, Dublin City","Euro","69205"
"Household median gross income","2016","138 Rathmines West A, Dublin City","Euro","44478"
"Household median gross income","2016","139 Rathmines West B, Dublin City","Euro","48247"
"Household median gross income","2016","140 Rathmines West C, Dublin City","Euro","67974"
"Household median gross income","2016","141 Rathmines West D, Dublin City","Euro","54690"
"Household median gross income","2016","142 Rathmines West E, Dublin City","Euro","60649"
"Household median gross income","2016","143 Rathmines West F, Dublin City","Euro","54702"
"Household median gross income","2016","144 Royal Exchange A, Dublin City","Euro","41119"
"Household median gross income","2016","145 Royal Exchange B, Dublin City","Euro","28367"
"Household median gross income","2016","146 St. Kevin's, Dublin City","Euro","49822"
"Household median gross income","2016","147 South Dock, Dublin City","Euro","76331"
"Household median gross income","2016","148 Terenure A, Dublin City","Euro","57234"
"Household median gross income","2016","149 Terenure B, Dublin City","Euro","61432"
"Household median gross income","2016","150 Terenure C, Dublin City","Euro","84266"
"Household median gross income","2016","151 Terenure D, Dublin City","Euro","96130"
"Household median gross income","2016","152 Ushers A, Dublin City","Euro","67561"
"Household median gross income","2016","153 Ushers B, Dublin City","Euro","38143"
"Household median gross income","2016","154 Ushers C, Dublin City","Euro","35760"
"Household median gross income","2016","155 Ushers D, Dublin City","Euro","36346"
"Household median gross income","2016","156 Ushers E, Dublin City","Euro","32750"
"Household median gross income","2016","157 Ushers F, Dublin City","Euro","54596"
"Household median gross income","2016","158 Walkinstown A, Dublin City","Euro","46842"
"Household median gross income","2016","159 Walkinstown B, Dublin City","Euro","43510"
"Household median gross income","2016","160 Walkinstown C, Dublin City","Euro","41360"
"Household median gross income","2016","161 Wood Quay A, Dublin City","Euro","25627"
