"Statistic","Year","Electoral Division","UNIT","VALUE"
"Household median gross income","2016","999 Firry / Newgrove","Euro","31747"
"Household median gross income","2016","025 Gelshagh, Co. Longford","Euro","42697"
"Household median gross income","2016","026 Granard Rural, Co. Longford","Euro","39670"
"Household median gross income","2016","027 Granard Urban, Co. Longford","Euro","32252"
"Household median gross income","2016","028 Knockanbaun, Co. Longford","Euro","41400"
"Household median gross income","2016","029 Lislea, Co. Longford","Euro","34291"
"Household median gross income","2016","030 Meathas Truim, Co. Longford","Euro","32900"
"Household median gross income","2016","031 Milltown, Co. Longford","Euro","44523"
"Household median gross income","2016","032 Moatfarrell, Co. Longford","Euro","50822"
"Household median gross income","2016","033 Moyne, Co. Longford","Euro","28144"
"Household median gross income","2016","034 Mullanalaghta, Co. Longford","Euro","51787"
"Household median gross income","2016","036 Sonnagh, Co. Longford","Euro","28284"
"Household median gross income","2016","037 Aghaboy, Co. Longford","Euro","34556"
"Household median gross income","2016","038 Ardagh East, Co. Longford","Euro","46986"
"Household median gross income","2016","039 Ardagh West, Co. Longford","Euro","48038"
"Household median gross income","2016","040 Ballinamuck East, Co. Longford","Euro","38653"
"Household median gross income","2016","041 Ballinamuck West, Co. Longford","Euro","29719"
"Household median gross income","2016","042 Breanrisk, Co. Longford","Euro","39647"
"Household median gross income","2016","043 Caldragh, Co. Longford","Euro","49054"
"Household median gross income","2016","044 Cloondara, Co. Longford","Euro","41117"
"Household median gross income","2016","045 Cloonee, Co. Longford","Euro","43467"
"Household median gross income","2016","046 Corboy, Co. Longford","Euro","48648"
"Household median gross income","2016","047 Drumgort, Co. Longford","Euro","31738"
"Household median gross income","2016","048 Drumlish, Co. Longford","Euro","34596"
"Household median gross income","2016","049 Killashee, Co. Longford","Euro","37562"
"Household median gross income","2016","050 Killoe, Co. Longford","Euro","28533"
"Household median gross income","2016","051 Longford Rural (Part Urban), Co. Longford","Euro","34047"
"Household median gross income","2016","052 Mountdavis, Co. Longford","Euro","56448"
"Household median gross income","2016","053 Moydow, Co. Longford","Euro","47824"
"Household median gross income","2016","054 Newtown Forbes, Co. Longford","Euro","32076"
"Household median gross income","2016","055 Rathcline, Co. Longford","Euro","34679"
"Household median gross income","2016","001 Fair Gate, Co. Louth","Euro","33556"
"Household median gross income","2016","002 St. Laurence Gate, Co. Louth","Euro","44102"
"Household median gross income","2016","003 West Gate, Co. Louth","Euro","35490"
"Household median gross income","2016","004 Dundalk Urban No. 1, Co. Louth","Euro","27699"
"Household median gross income","2016","005 Dundalk Urban No. 2, Co. Louth","Euro","27765"
"Household median gross income","2016","006 Dundalk Urban No. 3, Co. Louth","Euro","31059"
"Household median gross income","2016","007 Dundalk Urban No. 4, Co. Louth","Euro","39577"
"Household median gross income","2016","008 Ardee Rural, Co. Louth","Euro","53610"
"Household median gross income","2016","009 Ardee Urban, Co. Louth","Euro","36040"
"Household median gross income","2016","010 Castlebellingham, Co. Louth","Euro","43077"
"Household median gross income","2016","011 Clonkeen, Co. Louth","Euro","50305"
"Household median gross income","2016","012 Collon, Co. Louth","Euro","48048"
"Household median gross income","2016","013 Dromin, Co. Louth","Euro","54377"
"Household median gross income","2016","014 Dromiskin, Co. Louth","Euro","48304"
"Household median gross income","2016","015 Drumcar, Co. Louth","Euro","48767"
"Household median gross income","2016","016 Dunleer, Co. Louth","Euro","43103"
"Household median gross income","2016","017 Stabannan, Co. Louth","Euro","54769"
"Household median gross income","2016","018 Tallanstown, Co. Louth","Euro","44312"
"Household median gross income","2016","019 Ballymascanlan, Co. Louth","Euro","47238"
"Household median gross income","2016","020 Barronstown, Co. Louth","Euro","48568"
"Household median gross income","2016","021 Carlingford, Co. Louth","Euro","32978"
"Household median gross income","2016","022 Castlering, Co. Louth","Euro","55929"
"Household median gross income","2016","023 Castletown (Part Urban), Co. Louth","Euro","36163"
"Household median gross income","2016","024 Creggan Upper, Co. Louth","Euro","34967"
"Household median gross income","2016","025 Darver, Co. Louth","Euro","51642"
"Household median gross income","2016","026 Drummullagh, Co. Louth","Euro","28721"
"Household median gross income","2016","027 Dundalk Rural (Part Urban), Co. Louth","Euro","36096"
"Household median gross income","2016","028 Faughart, Co. Louth","Euro","42830"
"Household median gross income","2016","029 Greenore, Co. Louth","Euro","48767"
"Household median gross income","2016","030 Haggardstown (Part Urban), Co. Louth","Euro","51507"
"Household median gross income","2016","031 Jenkinstown, Co. Louth","Euro","49407"
"Household median gross income","2016","032 Killanny, Co. Louth","Euro","50217"
"Household median gross income","2016","033 Louth, Co. Louth","Euro","41666"
"Household median gross income","2016","034 Mansfieldstown, Co. Louth","Euro","52135"
"Household median gross income","2016","035 Rathcor, Co. Louth","Euro","45271"
"Household median gross income","2016","036 Ravensdale, Co. Louth","Euro","47191"
"Household median gross income","2016","037 Clogher, Co. Louth","Euro","46415"
"Household median gross income","2016","038 Dysart, Co. Louth","Euro","59455"
"Household median gross income","2016","039 Monasterboice, Co. Louth","Euro","58819"
"Household median gross income","2016","040 Mullary, Co. Louth","Euro","61580"
"Household median gross income","2016","041 St. Peter's (Part Urban), Co. Louth","Euro","47389"
"Household median gross income","2016","042 Termonfeckin, Co. Louth","Euro","56846"
"Household median gross income","2016","047 St. Mary's (Part Urban), Co. Louth","Euro","46580"
"Household median gross income","2016","001 Ceannanus Mór (Kells) Urban, Co. Meath","Euro","26918"
"Household median gross income","2016","002 Navan Urban, Co. Meath","Euro","33492"
"Household median gross income","2016","003 Trim Urban, Co. Meath","Euro","29764"
"Household median gross income","2016","004 Drumcondra, Co. Meath","Euro","43953"
"Household median gross income","2016","005 Grangegeeth, Co. Meath","Euro","47514"
"Household median gross income","2016","006 Killary, Co. Meath","Euro","48016"
"Household median gross income","2016","007 Culmullin, Co. Meath","Euro","72394"
"Household median gross income","2016","008 Donaghmore, Co. Meath","Euro","58339"
"Household median gross income","2016","009 Dunboyne, Co. Meath","Euro","67564"
"Household median gross income","2016","010 Dunshaughlin, Co. Meath","Euro","61505"
"Household median gross income","2016","011 Kilbrew, Co. Meath","Euro","62015"
"Household median gross income","2016","012 Killeen, Co. Meath","Euro","62268"
"Household median gross income","2016","013 Kilmessan, Co. Meath","Euro","54163"
"Household median gross income","2016","014 Kilmore, Co. Meath","Euro","67309"
"Household median gross income","2016","015 Rathfeigh, Co. Meath","Euro","68677"
"Household median gross income","2016","016 Ratoath, Co. Meath","Euro","71154"
"Household median gross income","2016","017 Rodanstown, Co. Meath","Euro","65460"
"Household median gross income","2016","018 Skreen, Co. Meath","Euro","58849"
"Household median gross income","2016","019 Ardagh, Co. Meath","Euro","46259"
"Household median gross income","2016","020 Ballinlough, Co. Meath","Euro","39054"
"Household median gross income","2016","021 Balrathboyne, Co. Meath","Euro","48837"
"Household median gross income","2016","022 Boherboy, Co. Meath","Euro","53020"
"Household median gross income","2016","023 Burry, Co. Meath","Euro","48990"
"Household median gross income","2016","024 Carrickleck, Co. Meath","Euro","51517"
"Household median gross income","2016","025 Castlekeeran, Co. Meath","Euro","43567"
"Household median gross income","2016","026 Ceannanus Mór (Kells) Rural (Part Urban), Co. Meath","Euro","47891"
"Household median gross income","2016","027 Cruicetown, Co. Meath","Euro","55392"
"Household median gross income","2016","028 Girley, Co. Meath","Euro","38966"
"Household median gross income","2016","029 Kilmainham, Co. Meath","Euro","37231"
"Household median gross income","2016","030 Kilskeer, Co. Meath","Euro","50288"
"Household median gross income","2016","031 Loughan, Co. Meath","Euro","39935"
"Household median gross income","2016","032 Maperath, Co. Meath","Euro","42775"
"Household median gross income","2016","033 Martry, Co. Meath","Euro","55123"
"Household median gross income","2016","034 Moybolgue, Co. Meath","Euro","50659"
"Household median gross income","2016","035 Moynalty, Co. Meath","Euro","42339"
"Household median gross income","2016","036 Newcastle, Co. Meath","Euro","50589"
"Household median gross income","2016","037 Newtown, Co. Meath","Euro","44793"
"Household median gross income","2016","038 Nobber, Co. Meath","Euro","43616"
"Household median gross income","2016","039 Posseckstown, Co. Meath","Euro","45786"
"Household median gross income","2016","040 Staholmog, Co. Meath","Euro","41255"
"Household median gross income","2016","041 Tailtin, Co. Meath","Euro","48075"
"Household median gross income","2016","042 Trohanny, Co. Meath","Euro","41502"
"Household median gross income","2016","043 Ardcath, Co. Meath","Euro","51207"
"Household median gross income","2016","044 Duleek, Co. Meath","Euro","46389"
"Household median gross income","2016","045 Julianstown, Co. Meath","Euro","49834"
"Household median gross income","2016","046 Mellifont, Co. Meath","Euro","53862"
"Household median gross income","2016","047 St. Mary's (Part Rural), Co. Meath","Euro","56955"
"Household median gross income","2016","048 Stamullin, Co. Meath","Euro","60842"
"Household median gross income","2016","049 Ardbraccan, Co. Meath","Euro","53883"
"Household median gross income","2016","050 Ardmulchan, Co. Meath","Euro","61028"
"Household median gross income","2016","051 Bective, Co. Meath","Euro","57858"
"Household median gross income","2016","052 Castletown, Co. Meath","Euro","51020"
"Household median gross income","2016","053 Domhnach Phádraig, Co. Meath","Euro","56432"
"Household median gross income","2016","054 Kentstown, Co. Meath","Euro","59033"
"Household median gross income","2016","055 Navan Rural (Part Urban), Co. Meath","Euro","47996"
"Household median gross income","2016","056 Painestown, Co. Meath","Euro","54868"
"Household median gross income","2016","057 Rathkenny, Co. Meath","Euro","44428"
"Household median gross income","2016","058 Slane, Co. Meath","Euro","47822"
"Household median gross income","2016","059 Stackallan, Co. Meath","Euro","54839"
"Household median gross income","2016","060 Tara, Co. Meath","Euro","59407"
"Household median gross income","2016","061 Crossakeel, Co. Meath","Euro","42542"
"Household median gross income","2016","062 Crosskeys, Co. Meath","Euro","44444"
"Household median gross income","2016","063 Killallon, Co. Meath","Euro","49564"
"Household median gross income","2016","064 Killeagh, Co. Meath","Euro","40070"
"Household median gross income","2016","065 Knocklough, Co. Meath","Euro","40213"
"Household median gross income","2016","066 Moylagh, Co. Meath","Euro","36239"
"Household median gross income","2016","067 Oldcastle, Co. Meath","Euro","35443"
"Household median gross income","2016","068 Stonefield, Co. Meath","Euro","45173"
"Household median gross income","2016","069 Ardnamullan, Co. Meath","Euro","42481"
"Household median gross income","2016","070 Baile Átha Buí, Co. Meath","Euro","39575"
"Household median gross income","2016","071 Ballyboggan, Co. Meath","Euro","50603"
"Household median gross income","2016","072 Ballyconnell, Co. Meath","Euro","55876"
"Household median gross income","2016","073 Castlejordan, Co. Meath","Euro","42429"
"Household median gross income","2016","074 Castlerickard, Co. Meath","Euro","57482"
"Household median gross income","2016","075 Cloghbrack, Co. Meath","Euro","47245"
"Household median gross income","2016","076 Clonmacduff, Co. Meath","Euro","66102"
"Household median gross income","2016","077 Gallow, Co. Meath","Euro","61129"
"Household median gross income","2016","078 Galtrim, Co. Meath","Euro","62090"
"Household median gross income","2016","079 Grennanstown, Co. Meath","Euro","58062"
"Household median gross income","2016","080 Hill of Down, Co. Meath","Euro","54088"
"Household median gross income","2016","081 Innfield, Co. Meath","Euro","56562"
"Household median gross income","2016","082 Cill Bhríde, Co. Meath","Euro","65729"
"Household median gross income","2016","083 Kilcooly, Co. Meath","Euro","53553"
"Household median gross income","2016","084 Kildalky, Co. Meath","Euro","51072"
"Household median gross income","2016","085 Killaconnigan, Co. Meath","Euro","40246"
"Household median gross income","2016","086 Killyon, Co. Meath","Euro","50021"
"Household median gross income","2016","087 Laracor, Co. Meath","Euro","65383"
"Household median gross income","2016","088 Rahinstown, Co. Meath","Euro","58686"
"Household median gross income","2016","089 Rathmolyon, Co. Meath","Euro","50871"
"Household median gross income","2016","090 An Ráth Mhór, Co. Meath","Euro","54024"
"Household median gross income","2016","091 Summerhill, Co. Meath","Euro","44748"
"Household median gross income","2016","092 Trim Rural (Part Urban), Co. Meath","Euro","51186"
"Household median gross income","2016","001 Birr Urban, Co. Offaly","Euro","34479"
"Household median gross income","2016","002 Tullamore Urban, Co. Offaly","Euro","36142"
"Household median gross income","2016","003 Ballycumber, Co. Offaly","Euro","39836"
"Household median gross income","2016","004 Banagher, Co. Offaly","Euro","36886"
"Household median gross income","2016","005 Birr Rural, Co. Offaly","Euro","35695"
"Household median gross income","2016","006 Broughal, Co. Offaly","Euro","40348"
"Household median gross income","2016","007 Cloghan, Co. Offaly","Euro","40185"
"Household median gross income","2016","008 Clonmacnoise, Co. Offaly","Euro","45257"
"Household median gross income","2016","009 Derrinboy, Co. Offaly","Euro","51260"
"Household median gross income","2016","010 Derryad, Co. Offaly","Euro","44782"
"Household median gross income","2016","011 Doon, Co. Offaly","Euro","51414"
"Household median gross income","2016","012 Dromoyle, Co. Offaly","Euro","44446"
"Household median gross income","2016","013 Drumcullen, Co. Offaly","Euro","47404"
"Household median gross income","2016","014 Eglish, Co. Offaly","Euro","39073"
"Household median gross income","2016","015 Ferbane, Co. Offaly","Euro","43491"
"Household median gross income","2016","016 Gallen, Co. Offaly","Euro","37669"
"Household median gross income","2016","017 Hinds, Co. Offaly","Euro","51074"
"Household median gross income","2016","018 Huntston, Co. Offaly","Euro","40577"
"Household median gross income","2016","019 Kilcolman, Co. Offaly","Euro","46948"
"Household median gross income","2016","020 Kilcormac, Co. Offaly","Euro","36365"
"Household median gross income","2016","021 Killyon, Co. Offaly","Euro","52221"
"Household median gross income","2016","022 Kinnitty, Co. Offaly","Euro","37119"
"Household median gross income","2016","023 Knockbarron, Co. Offaly","Euro","47232"
"Household median gross income","2016","024 Lea, Co. Offaly","Euro","43061"
"Household median gross income","2016","025 Letter, Co. Offaly","Euro","43080"
"Household median gross income","2016","026 Lumcloon, Co. Offaly","Euro","42123"
"Household median gross income","2016","027 Lusmagh, Co. Offaly","Euro","47815"
"Household median gross income","2016","028 Mounterin, Co. Offaly","Euro","58264"
"Household median gross income","2016","029 Moyclare, Co. Offaly","Euro","46044"
"Household median gross income","2016","030 Seirkieran, Co. Offaly","Euro","48105"
"Household median gross income","2016","031 Shannonbridge, Co. Offaly","Euro","42101"
"Household median gross income","2016","032 Shannonharbour, Co. Offaly","Euro","48376"
"Household median gross income","2016","033 Srah, Co. Offaly","Euro","34908"
"Household median gross income","2016","035 Ballyburly, Co. Offaly","Euro","41146"
"Household median gross income","2016","036 Ballymacwilliam, Co. Offaly","Euro","51729"
"Household median gross income","2016","037 Bracknagh, Co. Offaly","Euro","47474"
"Household median gross income","2016","038 Clonbulloge, Co. Offaly","Euro","41195"
"Household median gross income","2016","039 Clonmore, Co. Offaly","Euro","47591"
"Household median gross income","2016","040 Croghan, Co. Offaly","Euro","54698"
"Household median gross income","2016","041 Edenderry Rural, Co. Offaly","Euro","53928"
"Household median gross income","2016","042 Edenderry Urban, Co. Offaly","Euro","39255"
"Household median gross income","2016","999 Esker / Ballaghassaan","Euro","51569"
"Household median gross income","2016","044 Knockdrin, Co. Offaly","Euro","42113"
"Household median gross income","2016","045 Monasteroris, Co. Offaly","Euro","52172"
"Household median gross income","2016","046 Aghancon, Co. Offaly","Euro","36742"
"Household median gross income","2016","047 Ballincor, Co. Offaly","Euro","47459"
"Household median gross income","2016","048 Barna, Co. Offaly","Euro","46165"
"Household median gross income","2016","049 Cangort, Co. Offaly","Euro","45843"
"Household median gross income","2016","050 Cullenwaine, Co. Offaly","Euro","40064"
"Household median gross income","2016","051 Dunkerrin, Co. Offaly","Euro","47247"
"Household median gross income","2016","052 Ettagh, Co. Offaly","Euro","51168"
"Household median gross income","2016","053 Gorteen, Co. Offaly","Euro","37704"
"Household median gross income","2016","054 Mountheaton, Co. Offaly","Euro","45620"
"Household median gross income","2016","055 Roscomroe, Co. Offaly","Euro","39479"
"Household median gross income","2016","056 Shinrone, Co. Offaly","Euro","33421"
"Household median gross income","2016","057 Templeharry, Co. Offaly","Euro","36171"
"Household median gross income","2016","058 Tulla, Co. Offaly","Euro","48979"
"Household median gross income","2016","059 Ballycommon, Co. Offaly","Euro","54260"
"Household median gross income","2016","060 Ballyshear, Co. Offaly","Euro","55017"
"Household median gross income","2016","061 Bawn, Co. Offaly","Euro","46819"
"Household median gross income","2016","062 Cappancur, Co. Offaly","Euro","48396"
"Household median gross income","2016","063 Clara, Co. Offaly","Euro","36885"
"Household median gross income","2016","064 Clonygowan, Co. Offaly","Euro","43185"
"Household median gross income","2016","065 Daingean, Co. Offaly","Euro","38209"
"Household median gross income","2016","066 Derrycooley, Co. Offaly","Euro","45440"
"Household median gross income","2016","067 Durrow, Co. Offaly","Euro","60828"
"Household median gross income","2016","068 Geashill, Co. Offaly","Euro","45415"
"Household median gross income","2016","069 Gorteen, Co. Offaly","Euro","55450"
"Household median gross income","2016","070 Hammerlane, Co. Offaly","Euro","52592"
"Household median gross income","2016","071 Kilclonfert, Co. Offaly","Euro","54500"
"Household median gross income","2016","072 Kilcumreragh, Co. Offaly","Euro","51845"
"Household median gross income","2016","073 Killeigh, Co. Offaly","Euro","50711"
"Household median gross income","2016","074 Killooly, Co. Offaly","Euro","53342"
"Household median gross income","2016","075 Killoughy, Co. Offaly","Euro","47544"
"Household median gross income","2016","076 Mountbriscoe, Co. Offaly","Euro","48116"
"Household median gross income","2016","077 O'Dempsey, Co. Offaly","Euro","44952"
"Household median gross income","2016","078 Portarlington North, Co. Offaly","Euro","37869"
"Household median gross income","2016","079 Rahan, Co. Offaly","Euro","49073"
"Household median gross income","2016","080 Raheenakeeran, Co. Offaly","Euro","39295"
"Household median gross income","2016","081 Rathfeston, Co. Offaly","Euro","45214"
"Household median gross income","2016","082 Rathrobin, Co. Offaly","Euro","41230"
"Household median gross income","2016","083 Screggan, Co. Offaly","Euro","51632"
"Household median gross income","2016","084 Silverbrook, Co. Offaly","Euro","58750"
"Household median gross income","2016","085 Tinamuck, Co. Offaly","Euro","52198"
"Household median gross income","2016","086 Tinnycross, Co. Offaly","Euro","48672"
"Household median gross income","2016","087 Tullamore Rural, Co. Offaly","Euro","48310"
"Household median gross income","2016","001 Athlone East Urban, Co. Westmeath","Euro","34035"
"Household median gross income","2016","002 Athlone West Urban, Co. Westmeath","Euro","29227"
"Household median gross income","2016","003 Athlone East Rural (Part Urban), Co. Westmeath","Euro","40544"
"Household median gross income","2016","004 Auburn, Co. Westmeath","Euro","56226"
"Household median gross income","2016","005 Ballybroder, Co. Westmeath","Euro","48611"
"Household median gross income","2016","006 Bellanalack, Co. Westmeath","Euro","49357"
"Household median gross income","2016","007 Carn, Co. Westmeath","Euro","50296"
"Household median gross income","2016","008 Castledaly, Co. Westmeath","Euro","49760"
"Household median gross income","2016","009 Glassan, Co. Westmeath","Euro","63582"
"Household median gross income","2016","010 Kilcumreragh, Co. Westmeath","Euro","52975"
"Household median gross income","2016","011 Killinure, Co. Westmeath","Euro","58912"
"Household median gross income","2016","012 Moate, Co. Westmeath","Euro","38758"
"Household median gross income","2016","013 Mount Temple, Co. Westmeath","Euro","52512"
"Household median gross income","2016","014 Moydrum (Part Urban), Co. Westmeath","Euro","58965"
"Household median gross income","2016","015 Muckanagh, Co. Westmeath","Euro","47847"
"Household median gross income","2016","016 Tubbrit, Co. Westmeath","Euro","52552"
"Household median gross income","2016","017 Umma, Co. Westmeath","Euro","54123"
"Household median gross income","2016","018 Ardnagragh, Co. Westmeath","Euro","54302"
"Household median gross income","2016","019 Ballymore, Co. Westmeath","Euro","39882"
"Household median gross income","2016","020 Doonis, Co. Westmeath","Euro","43676"
"Household median gross income","2016","021 Drumraney, Co. Westmeath","Euro","60210"
"Household median gross income","2016","022 Noughaval, Co. Westmeath","Euro","56900"
"Household median gross income","2016","023 Piercetown, Co. Westmeath","Euro","45356"
"Household median gross income","2016","024 Templepatrick, Co. Westmeath","Euro","50694"
"Household median gross income","2016","025 Winetown, Co. Westmeath","Euro","38002"
"Household median gross income","2016","026 Boherquill, Co. Westmeath","Euro","35498"
"Household median gross income","2016","027 Coole, Co. Westmeath","Euro","43903"
"Household median gross income","2016","028 Coolure, Co. Westmeath","Euro","43089"
"Household median gross income","2016","029 Finnea, Co. Westmeath","Euro","38168"
"Household median gross income","2016","030 Glore, Co. Westmeath","Euro","48236"
"Household median gross income","2016","031 Knockarrow, Co. Westmeath","Euro","44032"
"Household median gross income","2016","032 Rathowen, Co. Westmeath","Euro","33213"
"Household median gross income","2016","033 Street, Co. Westmeath","Euro","33970"
"Household median gross income","2016","034 Ballinlough, Co. Westmeath","Euro","45576"
"Household median gross income","2016","035 Ballyhealy, Co. Westmeath","Euro","41147"
"Household median gross income","2016","036 Ballynaskeagh, Co. Westmeath","Euro","47008"
"Household median gross income","2016","037 Bracklin, Co. Westmeath","Euro","55162"
"Household median gross income","2016","038 Clonarney, Co. Westmeath","Euro","45891"
"Household median gross income","2016","039 Collinstown, Co. Westmeath","Euro","33954"
"Household median gross income","2016","040 Copperalley, Co. Westmeath","Euro","43027"
"Household median gross income","2016","041 Delvin, Co. Westmeath","Euro","38021"
"Household median gross income","2016","042 Faughalstown, Co. Westmeath","Euro","48089"
"Household median gross income","2016","043 Fore East, Co. Westmeath","Euro","43325"
"Household median gross income","2016","044 Fore West, Co. Westmeath","Euro","49408"
"Household median gross income","2016","045 Hilltown, Co. Westmeath","Euro","44571"
"Household median gross income","2016","046 Kilcumny, Co. Westmeath","Euro","36814"
"Household median gross income","2016","047 Killua, Co. Westmeath","Euro","44551"
"Household median gross income","2016","048 Killulagh, Co. Westmeath","Euro","48169"
"Household median gross income","2016","049 Kilpatrick, Co. Westmeath","Euro","53499"
"Household median gross income","2016","050 Kinturk, Co. Westmeath","Euro","34456"
"Household median gross income","2016","051 Riverdale, Co. Westmeath","Euro","47906"
"Household median gross income","2016","052 Rosmead, Co. Westmeath","Euro","45112"
"Household median gross income","2016","053 Ardnaglew, Co. Westmeath","Euro","55733"
"Household median gross income","2016","999 Ballinalack / Lackan","Euro","42744"
"Household median gross income","2016","055 Ballykilmore, Co. Westmeath","Euro","43120"
"Household median gross income","2016","056 Ballymorin, Co. Westmeath","Euro","49300"
"Household median gross income","2016","057 Ballynagore, Co. Westmeath","Euro","51300"
"Household median gross income","2016","058 Belvidere, Co. Westmeath","Euro","61262"
"Household median gross income","2016","059 Carrick, Co. Westmeath","Euro","54699"
"Household median gross income","2016","060 Castle, Co. Westmeath","Euro","60773"
"Household median gross income","2016","061 Castlelost, Co. Westmeath","Euro","39646"
"Household median gross income","2016","062 Castletown, Co. Westmeath","Euro","44558"
"Household median gross income","2016","063 Churchtown, Co. Westmeath","Euro","51619"
"Household median gross income","2016","064 Cloghan, Co. Westmeath","Euro","48007"
"Household median gross income","2016","065 Clonfad, Co. Westmeath","Euro","40931"
"Household median gross income","2016","066 Clonlost, Co. Westmeath","Euro","42212"
"Household median gross income","2016","067 Derrymore, Co. Westmeath","Euro","52919"
"Household median gross income","2016","068 Dysart, Co. Westmeath","Euro","42314"
"Household median gross income","2016","069 Emper, Co. Westmeath","Euro","47891"
"Household median gross income","2016","070 Enniscoffey, Co. Westmeath","Euro","50426"
"Household median gross income","2016","071 Gaybrook, Co. Westmeath","Euro","60882"
"Household median gross income","2016","072 Glenlough, Co. Westmeath","Euro","40188"
"Household median gross income","2016","073 Greenpark, Co. Westmeath","Euro","40203"
"Household median gross income","2016","074 Griffinstown, Co. Westmeath","Euro","60542"
"Household median gross income","2016","075 Heathstown, Co. Westmeath","Euro","55652"
"Household median gross income","2016","076 Hopestown, Co. Westmeath","Euro","62992"
"Household median gross income","2016","077 Huntingdon, Co. Westmeath","Euro","46238"
"Household median gross income","2016","078 Jamestown, Co. Westmeath","Euro","42316"
"Household median gross income","2016","079 Kilbeggan, Co. Westmeath","Euro","34939"
"Household median gross income","2016","080 Kilbixy, Co. Westmeath","Euro","35875"
"Household median gross income","2016","081 Killare, Co. Westmeath","Euro","43594"
"Household median gross income","2016","082 Killucan, Co. Westmeath","Euro","46655"
"Household median gross income","2016","083 Kinnegad, Co. Westmeath","Euro","41711"
"Household median gross income","2016","084 Knockdrin, Co. Westmeath","Euro","54832"
"Household median gross income","2016","086 Lauree, Co. Westmeath","Euro","42133"
"Household median gross income","2016","087 Middleton, Co. Westmeath","Euro","47639"
"Household median gross income","2016","088 Milltown, Co. Westmeath","Euro","36830"
"Household median gross income","2016","089 Mullingar Rural, Co. Westmeath","Euro","47538"
"Household median gross income","2016","090 Mullingar North Urban, Co. Westmeath","Euro","30544"
"Household median gross income","2016","091 Mullingar South Urban, Co. Westmeath","Euro","38518"
"Household median gross income","2016","092 Multyfarnham, Co. Westmeath","Euro","48232"
"Household median gross income","2016","093 Newtown, Co. Westmeath","Euro","48191"
"Household median gross income","2016","094 Owel, Co. Westmeath","Euro","61970"
"Household median gross income","2016","095 Portloman, Co. Westmeath","Euro","54357"
"Household median gross income","2016","096 Raharney, Co. Westmeath","Euro","46698"
"Household median gross income","2016","097 Rahugh, Co. Westmeath","Euro","47254"
"Household median gross income","2016","098 Rathconrath, Co. Westmeath","Euro","49901"
"Household median gross income","2016","099 Russellstown, Co. Westmeath","Euro","55212"
"Household median gross income","2016","100 Skeagh, Co. Westmeath","Euro","43951"
"Household median gross income","2016","101 Sonna, Co. Westmeath","Euro","46617"
"Household median gross income","2016","102 Stonehall, Co. Westmeath","Euro","52792"
"Household median gross income","2016","103 Streamstown, Co. Westmeath","Euro","37178"
"Household median gross income","2016","104 Taghmon, Co. Westmeath","Euro","48930"
"Household median gross income","2016","105 Tullaghan, Co. Westmeath","Euro","59730"
"Household median gross income","2016","106 Woodland, Co. Westmeath","Euro","58152"
"Household median gross income","2016","001 Enniscorthy Urban, Co. Wexford","Euro","23763"
"Household median gross income","2016","002 New Ross Urban, Co. Wexford","Euro","27052"
"Household median gross income","2016","003 Rosbercon Urban, Co. Wexford","Euro","27022"
"Household median gross income","2016","004 Wexford No. 1 Urban, Co. Wexford","Euro","24104"
"Household median gross income","2016","005 Wexford No. 2 Urban, Co. Wexford","Euro","28079"
"Household median gross income","2016","006 Wexford No. 3 Urban, Co. Wexford","Euro","25017"
"Household median gross income","2016","007 Ballindaggan, Co. Wexford","Euro","38613"
"Household median gross income","2016","008 Ballycarney, Co. Wexford","Euro","51156"
"Household median gross income","2016","009 Ballyhoge, Co. Wexford","Euro","38333"
"Household median gross income","2016","010 Ballyhuskard, Co. Wexford","Euro","42849"
"Household median gross income","2016","011 Ballymore, Co. Wexford","Euro","44060"
"Household median gross income","2016","012 Ballyvaldon, Co. Wexford","Euro","41727"
"Household median gross income","2016","013 Bolaboy, Co. Wexford","Euro","41044"
"Household median gross income","2016","014 Bree, Co. Wexford","Euro","50644"
"Household median gross income","2016","015 Castleboro, Co. Wexford","Euro","43754"
"Household median gross income","2016","016 Castledockrell, Co. Wexford","Euro","43180"
"Household median gross income","2016","017 Castle Ellis, Co. Wexford","Euro","41657"
"Household median gross income","2016","018 Castle Talbot, Co. Wexford","Euro","36746"
"Household median gross income","2016","019 Clonroche, Co. Wexford","Euro","35706"
"Household median gross income","2016","020 Edermine, Co. Wexford","Euro","43287"
"Household median gross income","2016","021 Enniscorthy Rural (Part Urban), Co. Wexford","Euro","34840"
"Household median gross income","2016","022 Ferns, Co. Wexford","Euro","31817"
"Household median gross income","2016","023 Kilbora, Co. Wexford","Euro","52987"
"Household median gross income","2016","024 Kilcormick, Co. Wexford","Euro","47134"
"Household median gross income","2016","025 Killann, Co. Wexford","Euro","44861"
"Household median gross income","2016","026 Kilmallock, Co. Wexford","Euro","46701"
"Household median gross income","2016","027 Killoughrum, Co. Wexford","Euro","43917"
"Household median gross income","2016","028 Kilrush, Co. Wexford","Euro","42653"
"Household median gross income","2016","029 Kiltealy, Co. Wexford","Euro","39146"
"Household median gross income","2016","030 Marshalstown, Co. Wexford","Euro","46654"
"Household median gross income","2016","031 Moyacomb, Co. Wexford","Euro","53720"
"Household median gross income","2016","032 Newtownbarry, Co. Wexford","Euro","33578"
"Household median gross income","2016","033 Rossard, Co. Wexford","Euro","43824"
"Household median gross income","2016","034 St. Mary's, Co. Wexford","Euro","47879"
