"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2014","Limerick","New","Filings","Non-Household Buyer","Market","Number","16"
"Volume of Sales","2014","Limerick","New","Filings","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2014","Limerick","New","Executions","All Buyer Types","All Sale Types","Number","146"
"Volume of Sales","2014","Limerick","New","Executions","All Buyer Types","Market","Number","134"
"Volume of Sales","2014","Limerick","New","Executions","All Buyer Types","Non-Market","Number","12"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - All","All Sale Types","Number","125"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - All","Market","Number","113"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - All","Non-Market","Number","12"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","56"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","53"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","3"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","39"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","32"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","7"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","30"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - Non-Occupier","Market","Number","28"
"Volume of Sales","2014","Limerick","New","Executions","Household Buyer - Non-Occupier","Non-Market","Number","2"
"Volume of Sales","2014","Limerick","New","Executions","Non-Household Buyer","All Sale Types","Number","21"
"Volume of Sales","2014","Limerick","New","Executions","Non-Household Buyer","Market","Number","21"
"Volume of Sales","2014","Limerick","New","Executions","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2014","Limerick","Existing","Filings","All Buyer Types","All Sale Types","Number","1624"
"Volume of Sales","2014","Limerick","Existing","Filings","All Buyer Types","Market","Number","1304"
"Volume of Sales","2014","Limerick","Existing","Filings","All Buyer Types","Non-Market","Number","320"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - All","All Sale Types","Number","1420"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - All","Market","Number","1131"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - All","Non-Market","Number","289"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","308"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","278"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","30"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","672"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Market","Number","501"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","171"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","440"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Market","Number","352"
"Volume of Sales","2014","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Non-Market","Number","88"
"Volume of Sales","2014","Limerick","Existing","Filings","Non-Household Buyer","All Sale Types","Number","204"
"Volume of Sales","2014","Limerick","Existing","Filings","Non-Household Buyer","Market","Number","173"
"Volume of Sales","2014","Limerick","Existing","Filings","Non-Household Buyer","Non-Market","Number","31"
"Volume of Sales","2014","Limerick","Existing","Executions","All Buyer Types","All Sale Types","Number","1670"
"Volume of Sales","2014","Limerick","Existing","Executions","All Buyer Types","Market","Number","1366"
"Volume of Sales","2014","Limerick","Existing","Executions","All Buyer Types","Non-Market","Number","304"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - All","All Sale Types","Number","1433"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - All","Market","Number","1161"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - All","Non-Market","Number","272"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","305"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","280"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","25"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","685"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","518"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","167"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","443"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","363"
"Volume of Sales","2014","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Non-Market","Number","80"
"Volume of Sales","2014","Limerick","Existing","Executions","Non-Household Buyer","All Sale Types","Number","237"
"Volume of Sales","2014","Limerick","Existing","Executions","Non-Household Buyer","Market","Number","205"
"Volume of Sales","2014","Limerick","Existing","Executions","Non-Household Buyer","Non-Market","Number","32"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Number","2285"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Market","Number","1825"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Non-Market","Number","460"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","All Sale Types","Number","2033"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Market","Number","1600"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Non-Market","Number","433"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","449"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","422"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","27"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","932"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Market","Number","720"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","212"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","652"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Market","Number","458"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Non-Market","Number","194"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","All Sale Types","Number","252"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Market","Number","225"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Non-Market","Number","27"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Number","2244"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Market","Number","1796"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Non-Market","Number","448"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","All Sale Types","Number","1962"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Market","Number","1540"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Non-Market","Number","422"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","435"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","406"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","29"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","920"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Market","Number","717"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","203"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","607"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Market","Number","417"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Non-Market","Number","190"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","All Sale Types","Number","282"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Market","Number","256"
"Volume of Sales","2015","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Non-Market","Number","26"
"Volume of Sales","2015","Limerick","New","Filings","All Buyer Types","All Sale Types","Number","193"
"Volume of Sales","2015","Limerick","New","Filings","All Buyer Types","Market","Number","163"
"Volume of Sales","2015","Limerick","New","Filings","All Buyer Types","Non-Market","Number","30"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","169"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - All","Market","Number","139"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - All","Non-Market","Number","30"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","57"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","55"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","2"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","55"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Market","Number","49"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","6"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","57"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - Non-Occupier","Market","Number","35"
"Volume of Sales","2015","Limerick","New","Filings","Household Buyer - Non-Occupier","Non-Market","Number","22"
"Volume of Sales","2015","Limerick","New","Filings","Non-Household Buyer","All Sale Types","Number","24"
"Volume of Sales","2015","Limerick","New","Filings","Non-Household Buyer","Market","Number","24"
"Volume of Sales","2015","Limerick","New","Filings","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2015","Limerick","New","Executions","All Buyer Types","All Sale Types","Number","166"
"Volume of Sales","2015","Limerick","New","Executions","All Buyer Types","Market","Number","133"
"Volume of Sales","2015","Limerick","New","Executions","All Buyer Types","Non-Market","Number","33"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - All","All Sale Types","Number","146"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - All","Market","Number","113"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - All","Non-Market","Number","33"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","55"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","52"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","3"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","52"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","46"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","6"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","39"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - Non-Occupier","Market","Number","15"
"Volume of Sales","2015","Limerick","New","Executions","Household Buyer - Non-Occupier","Non-Market","Number","24"
"Volume of Sales","2015","Limerick","New","Executions","Non-Household Buyer","All Sale Types","Number","20"
"Volume of Sales","2015","Limerick","New","Executions","Non-Household Buyer","Market","Number","20"
"Volume of Sales","2015","Limerick","New","Executions","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2015","Limerick","Existing","Filings","All Buyer Types","All Sale Types","Number","2092"
"Volume of Sales","2015","Limerick","Existing","Filings","All Buyer Types","Market","Number","1662"
"Volume of Sales","2015","Limerick","Existing","Filings","All Buyer Types","Non-Market","Number","430"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - All","All Sale Types","Number","1864"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - All","Market","Number","1461"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - All","Non-Market","Number","403"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","392"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","367"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","25"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","877"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Market","Number","671"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","206"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","595"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Market","Number","423"
"Volume of Sales","2015","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Non-Market","Number","172"
"Volume of Sales","2015","Limerick","Existing","Filings","Non-Household Buyer","All Sale Types","Number","228"
"Volume of Sales","2015","Limerick","Existing","Filings","Non-Household Buyer","Market","Number","201"
"Volume of Sales","2015","Limerick","Existing","Filings","Non-Household Buyer","Non-Market","Number","27"
"Volume of Sales","2015","Limerick","Existing","Executions","All Buyer Types","All Sale Types","Number","2078"
"Volume of Sales","2015","Limerick","Existing","Executions","All Buyer Types","Market","Number","1663"
"Volume of Sales","2015","Limerick","Existing","Executions","All Buyer Types","Non-Market","Number","415"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - All","All Sale Types","Number","1816"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - All","Market","Number","1427"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - All","Non-Market","Number","389"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","380"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","354"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","26"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","868"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","671"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","197"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","568"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","402"
"Volume of Sales","2015","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Non-Market","Number","166"
"Volume of Sales","2015","Limerick","Existing","Executions","Non-Household Buyer","All Sale Types","Number","262"
"Volume of Sales","2015","Limerick","Existing","Executions","Non-Household Buyer","Market","Number","236"
"Volume of Sales","2015","Limerick","Existing","Executions","Non-Household Buyer","Non-Market","Number","26"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Number","2132"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Market","Number","1787"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Non-Market","Number","345"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","All Sale Types","Number","1831"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Market","Number","1508"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Non-Market","Number","323"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","435"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","403"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","32"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","869"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Market","Number","685"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","184"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","527"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Market","Number","420"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Non-Market","Number","107"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","All Sale Types","Number","301"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Market","Number","279"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Non-Market","Number","22"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Number","2061"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Market","Number","1742"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Non-Market","Number","319"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","All Sale Types","Number","1783"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Market","Number","1487"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Non-Market","Number","296"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","425"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","396"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","29"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","866"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Market","Number","691"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","175"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","492"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Market","Number","400"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Non-Market","Number","92"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","All Sale Types","Number","278"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Market","Number","255"
"Volume of Sales","2016","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Non-Market","Number","23"
"Volume of Sales","2016","Limerick","New","Filings","All Buyer Types","All Sale Types","Number","219"
"Volume of Sales","2016","Limerick","New","Filings","All Buyer Types","Market","Number","180"
"Volume of Sales","2016","Limerick","New","Filings","All Buyer Types","Non-Market","Number","39"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","206"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - All","Market","Number","175"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - All","Non-Market","Number","31"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","73"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","68"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","5"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","72"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Market","Number","66"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","6"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","61"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - Non-Occupier","Market","Number","41"
"Volume of Sales","2016","Limerick","New","Filings","Household Buyer - Non-Occupier","Non-Market","Number","20"
"Volume of Sales","2016","Limerick","New","Filings","Non-Household Buyer","All Sale Types","Number","13"
"Volume of Sales","2016","Limerick","New","Filings","Non-Household Buyer","Market","Number","5"
"Volume of Sales","2016","Limerick","New","Filings","Non-Household Buyer","Non-Market","Number","8"
"Volume of Sales","2016","Limerick","New","Executions","All Buyer Types","All Sale Types","Number","200"
"Volume of Sales","2016","Limerick","New","Executions","All Buyer Types","Market","Number","164"
"Volume of Sales","2016","Limerick","New","Executions","All Buyer Types","Non-Market","Number","36"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - All","All Sale Types","Number","181"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - All","Market","Number","153"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - All","Non-Market","Number","28"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","69"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","65"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","4"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","74"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","68"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","6"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","38"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - Non-Occupier","Market","Number","20"
"Volume of Sales","2016","Limerick","New","Executions","Household Buyer - Non-Occupier","Non-Market","Number","18"
"Volume of Sales","2016","Limerick","New","Executions","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2016","Limerick","New","Executions","Non-Household Buyer","Market","Number","11"
"Volume of Sales","2016","Limerick","New","Executions","Non-Household Buyer","Non-Market","Number","8"
"Volume of Sales","2016","Limerick","Existing","Filings","All Buyer Types","All Sale Types","Number","1913"
"Volume of Sales","2016","Limerick","Existing","Filings","All Buyer Types","Market","Number","1607"
"Volume of Sales","2016","Limerick","Existing","Filings","All Buyer Types","Non-Market","Number","306"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - All","All Sale Types","Number","1625"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - All","Market","Number","1333"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - All","Non-Market","Number","292"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","362"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","335"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","27"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","797"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Market","Number","619"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","178"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","466"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Market","Number","379"
"Volume of Sales","2016","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Non-Market","Number","87"
"Volume of Sales","2016","Limerick","Existing","Filings","Non-Household Buyer","All Sale Types","Number","288"
"Volume of Sales","2016","Limerick","Existing","Filings","Non-Household Buyer","Market","Number","274"
"Volume of Sales","2016","Limerick","Existing","Filings","Non-Household Buyer","Non-Market","Number","14"
"Volume of Sales","2016","Limerick","Existing","Executions","All Buyer Types","All Sale Types","Number","1861"
"Volume of Sales","2016","Limerick","Existing","Executions","All Buyer Types","Market","Number","1578"
"Volume of Sales","2016","Limerick","Existing","Executions","All Buyer Types","Non-Market","Number","283"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - All","All Sale Types","Number","1602"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - All","Market","Number","1334"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - All","Non-Market","Number","268"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","356"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","331"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","25"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","792"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","623"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","169"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","454"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","380"
"Volume of Sales","2016","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Non-Market","Number","74"
