Statistic,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 24 years,Both sexes,%,13.6
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 24 years,Male,%,14.1
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 24 years,Female,%,12.9
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 74 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 74 years,Male,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 74 years,Female,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,1998M01,25 - 74 years,Both sexes,%,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998M01,25 - 74 years,Male,%,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998M01,25 - 74 years,Female,%,8.2
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 24 years,Both sexes,%,13.4
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 24 years,Male,%,13.9
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 24 years,Female,%,12.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 74 years,Both sexes,%,9.1
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 74 years,Male,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 74 years,Female,%,9.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,25 - 74 years,Both sexes,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,25 - 74 years,Male,%,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998M02,25 - 74 years,Female,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 24 years,Both sexes,%,12.9
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 24 years,Male,%,13.4
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 24 years,Female,%,12.3
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 74 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 74 years,Male,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 74 years,Female,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,1998M03,25 - 74 years,Both sexes,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998M03,25 - 74 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998M03,25 - 74 years,Female,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,1998M04,15 - 24 years,Both sexes,%,12.1
Seasonally Adjusted Monthly Unemployment Rate,1998M04,15 - 24 years,Male,%,12.4
Seasonally Adjusted Monthly Unemployment Rate,1998M04,15 - 24 years,Female,%,11.8
Seasonally Adjusted Monthly Unemployment Rate,1998M04,15 - 74 years,Both sexes,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,1998M04,15 - 74 years,Male,%,8
Seasonally Adjusted Monthly Unemployment Rate,1998M04,15 - 74 years,Female,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1998M04,25 - 74 years,Both sexes,%,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998M04,25 - 74 years,Male,%,6.8
Seasonally Adjusted Monthly Unemployment Rate,1998M04,25 - 74 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,1998M05,15 - 24 years,Both sexes,%,11.5
Seasonally Adjusted Monthly Unemployment Rate,1998M05,15 - 24 years,Male,%,11.7
Seasonally Adjusted Monthly Unemployment Rate,1998M05,15 - 24 years,Female,%,11.2
Seasonally Adjusted Monthly Unemployment Rate,1998M05,15 - 74 years,Both sexes,%,8
Seasonally Adjusted Monthly Unemployment Rate,1998M05,15 - 74 years,Male,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,1998M05,15 - 74 years,Female,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,1998M05,25 - 74 years,Both sexes,%,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998M05,25 - 74 years,Male,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,1998M05,25 - 74 years,Female,%,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998M06,15 - 24 years,Both sexes,%,11.1
Seasonally Adjusted Monthly Unemployment Rate,1998M06,15 - 24 years,Male,%,11.4
Seasonally Adjusted Monthly Unemployment Rate,1998M06,15 - 24 years,Female,%,10.6
Seasonally Adjusted Monthly Unemployment Rate,1998M06,15 - 74 years,Both sexes,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,1998M06,15 - 74 years,Male,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,1998M06,15 - 74 years,Female,%,8
Seasonally Adjusted Monthly Unemployment Rate,1998M06,25 - 74 years,Both sexes,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,1998M06,25 - 74 years,Male,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,1998M06,25 - 74 years,Female,%,7
Seasonally Adjusted Monthly Unemployment Rate,1998M07,15 - 24 years,Both sexes,%,10.7
Seasonally Adjusted Monthly Unemployment Rate,1998M07,15 - 24 years,Male,%,11.2
Seasonally Adjusted Monthly Unemployment Rate,1998M07,15 - 24 years,Female,%,10.2
Seasonally Adjusted Monthly Unemployment Rate,1998M07,15 - 74 years,Both sexes,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,1998M07,15 - 74 years,Male,%,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998M07,15 - 74 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,1998M07,25 - 74 years,Both sexes,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,1998M07,25 - 74 years,Male,%,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998M07,25 - 74 years,Female,%,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998M08,15 - 24 years,Both sexes,%,10.5
Seasonally Adjusted Monthly Unemployment Rate,1998M08,15 - 24 years,Male,%,11
Seasonally Adjusted Monthly Unemployment Rate,1998M08,15 - 24 years,Female,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,1998M08,15 - 74 years,Both sexes,%,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998M08,15 - 74 years,Male,%,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998M08,15 - 74 years,Female,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998M08,25 - 74 years,Both sexes,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,1998M08,25 - 74 years,Male,%,6.2
Seasonally Adjusted Monthly Unemployment Rate,1998M08,25 - 74 years,Female,%,6.8
Seasonally Adjusted Monthly Unemployment Rate,1998M09,15 - 24 years,Both sexes,%,10.4
Seasonally Adjusted Monthly Unemployment Rate,1998M09,15 - 24 years,Male,%,10.9
Seasonally Adjusted Monthly Unemployment Rate,1998M09,15 - 24 years,Female,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,1998M09,15 - 74 years,Both sexes,%,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998M09,15 - 74 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998M09,15 - 74 years,Female,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,1998M09,25 - 74 years,Both sexes,%,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998M09,25 - 74 years,Male,%,6
Seasonally Adjusted Monthly Unemployment Rate,1998M09,25 - 74 years,Female,%,6.7
Seasonally Adjusted Monthly Unemployment Rate,1998M10,15 - 24 years,Both sexes,%,10.3
Seasonally Adjusted Monthly Unemployment Rate,1998M10,15 - 24 years,Male,%,10.6
Seasonally Adjusted Monthly Unemployment Rate,1998M10,15 - 24 years,Female,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,1998M10,15 - 74 years,Both sexes,%,7
Seasonally Adjusted Monthly Unemployment Rate,1998M10,15 - 74 years,Male,%,6.7
Seasonally Adjusted Monthly Unemployment Rate,1998M10,15 - 74 years,Female,%,7.3
Seasonally Adjusted Monthly Unemployment Rate,1998M10,25 - 74 years,Both sexes,%,5.9
Seasonally Adjusted Monthly Unemployment Rate,1998M10,25 - 74 years,Male,%,5.7
Seasonally Adjusted Monthly Unemployment Rate,1998M10,25 - 74 years,Female,%,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998M11,15 - 24 years,Both sexes,%,10.1
Seasonally Adjusted Monthly Unemployment Rate,1998M11,15 - 24 years,Male,%,10.3
Seasonally Adjusted Monthly Unemployment Rate,1998M11,15 - 24 years,Female,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,1998M11,15 - 74 years,Both sexes,%,6.7
Seasonally Adjusted Monthly Unemployment Rate,1998M11,15 - 74 years,Male,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,1998M11,15 - 74 years,Female,%,7
Seasonally Adjusted Monthly Unemployment Rate,1998M11,25 - 74 years,Both sexes,%,5.6
Seasonally Adjusted Monthly Unemployment Rate,1998M11,25 - 74 years,Male,%,5.4
Seasonally Adjusted Monthly Unemployment Rate,1998M11,25 - 74 years,Female,%,6
Seasonally Adjusted Monthly Unemployment Rate,1998M12,15 - 24 years,Both sexes,%,10.1
Seasonally Adjusted Monthly Unemployment Rate,1998M12,15 - 24 years,Male,%,10.2
Seasonally Adjusted Monthly Unemployment Rate,1998M12,15 - 24 years,Female,%,9.9
Seasonally Adjusted Monthly Unemployment Rate,1998M12,15 - 74 years,Both sexes,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,1998M12,15 - 74 years,Male,%,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998M12,15 - 74 years,Female,%,7
Seasonally Adjusted Monthly Unemployment Rate,1998M12,25 - 74 years,Both sexes,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1998M12,25 - 74 years,Male,%,5.3
Seasonally Adjusted Monthly Unemployment Rate,1998M12,25 - 74 years,Female,%,5.9
Seasonally Adjusted Monthly Unemployment Rate,1999M01,15 - 24 years,Both sexes,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,1999M01,15 - 24 years,Male,%,10.2
Seasonally Adjusted Monthly Unemployment Rate,1999M01,15 - 24 years,Female,%,9.4
Seasonally Adjusted Monthly Unemployment Rate,1999M01,15 - 74 years,Both sexes,%,6.5
Seasonally Adjusted Monthly Unemployment Rate,1999M01,15 - 74 years,Male,%,6.3
Seasonally Adjusted Monthly Unemployment Rate,1999M01,15 - 74 years,Female,%,6.9
Seasonally Adjusted Monthly Unemployment Rate,1999M01,25 - 74 years,Both sexes,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999M01,25 - 74 years,Male,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999M01,25 - 74 years,Female,%,6
Seasonally Adjusted Monthly Unemployment Rate,1999M02,15 - 24 years,Both sexes,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,1999M02,15 - 24 years,Male,%,10
Seasonally Adjusted Monthly Unemployment Rate,1999M02,15 - 24 years,Female,%,9
Seasonally Adjusted Monthly Unemployment Rate,1999M02,15 - 74 years,Both sexes,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,1999M02,15 - 74 years,Male,%,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999M02,15 - 74 years,Female,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,1999M02,25 - 74 years,Both sexes,%,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999M02,25 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999M02,25 - 74 years,Female,%,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999M03,15 - 24 years,Both sexes,%,9.4
Seasonally Adjusted Monthly Unemployment Rate,1999M03,15 - 24 years,Male,%,9.8
Seasonally Adjusted Monthly Unemployment Rate,1999M03,15 - 24 years,Female,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1999M03,15 - 74 years,Both sexes,%,6.3
Seasonally Adjusted Monthly Unemployment Rate,1999M03,15 - 74 years,Male,%,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999M03,15 - 74 years,Female,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,1999M03,25 - 74 years,Both sexes,%,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999M03,25 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999M03,25 - 74 years,Female,%,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999M04,15 - 24 years,Both sexes,%,9.2
Seasonally Adjusted Monthly Unemployment Rate,1999M04,15 - 24 years,Male,%,9.6
Seasonally Adjusted Monthly Unemployment Rate,1999M04,15 - 24 years,Female,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,1999M04,15 - 74 years,Both sexes,%,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999M04,15 - 74 years,Male,%,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999M04,15 - 74 years,Female,%,6.5
Seasonally Adjusted Monthly Unemployment Rate,1999M04,25 - 74 years,Both sexes,%,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999M04,25 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999M04,25 - 74 years,Female,%,5.6
Seasonally Adjusted Monthly Unemployment Rate,1999M05,15 - 24 years,Both sexes,%,9
Seasonally Adjusted Monthly Unemployment Rate,1999M05,15 - 24 years,Male,%,9.3
Seasonally Adjusted Monthly Unemployment Rate,1999M05,15 - 24 years,Female,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,1999M05,15 - 74 years,Both sexes,%,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999M05,15 - 74 years,Male,%,6
Seasonally Adjusted Monthly Unemployment Rate,1999M05,15 - 74 years,Female,%,6.5
Seasonally Adjusted Monthly Unemployment Rate,1999M05,25 - 74 years,Both sexes,%,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999M05,25 - 74 years,Male,%,5
Seasonally Adjusted Monthly Unemployment Rate,1999M05,25 - 74 years,Female,%,5.7
Seasonally Adjusted Monthly Unemployment Rate,1999M06,15 - 24 years,Both sexes,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,1999M06,15 - 24 years,Male,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1999M06,15 - 24 years,Female,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1999M06,15 - 74 years,Both sexes,%,5.9
Seasonally Adjusted Monthly Unemployment Rate,1999M06,15 - 74 years,Male,%,5.7
Seasonally Adjusted Monthly Unemployment Rate,1999M06,15 - 74 years,Female,%,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999M06,25 - 74 years,Both sexes,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999M06,25 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,1999M06,25 - 74 years,Female,%,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999M07,15 - 24 years,Both sexes,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,1999M07,15 - 24 years,Male,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1999M07,15 - 24 years,Female,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,1999M07,15 - 74 years,Both sexes,%,5.7
Seasonally Adjusted Monthly Unemployment Rate,1999M07,15 - 74 years,Male,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999M07,15 - 74 years,Female,%,6
Seasonally Adjusted Monthly Unemployment Rate,1999M07,25 - 74 years,Both sexes,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,1999M07,25 - 74 years,Male,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,1999M07,25 - 74 years,Female,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999M08,15 - 24 years,Both sexes,%,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999M08,15 - 24 years,Male,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,1999M08,15 - 24 years,Female,%,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999M08,15 - 74 years,Both sexes,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999M08,15 - 74 years,Male,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999M08,15 - 74 years,Female,%,5.9
Seasonally Adjusted Monthly Unemployment Rate,1999M08,25 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,1999M08,25 - 74 years,Male,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,1999M08,25 - 74 years,Female,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999M09,15 - 24 years,Both sexes,%,8.3
Seasonally Adjusted Monthly Unemployment Rate,1999M09,15 - 24 years,Male,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,1999M09,15 - 24 years,Female,%,8.1
Seasonally Adjusted Monthly Unemployment Rate,1999M09,15 - 74 years,Both sexes,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999M09,15 - 74 years,Male,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999M09,15 - 74 years,Female,%,6
Seasonally Adjusted Monthly Unemployment Rate,1999M09,25 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,1999M09,25 - 74 years,Male,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,1999M09,25 - 74 years,Female,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999M10,15 - 24 years,Both sexes,%,8.1
Seasonally Adjusted Monthly Unemployment Rate,1999M10,15 - 24 years,Male,%,8.4
Seasonally Adjusted Monthly Unemployment Rate,1999M10,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,1999M10,15 - 74 years,Both sexes,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999M10,15 - 74 years,Male,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999M10,15 - 74 years,Female,%,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999M10,25 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,1999M10,25 - 74 years,Male,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,1999M10,25 - 74 years,Female,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999M11,15 - 24 years,Both sexes,%,7.9
Seasonally Adjusted Monthly Unemployment Rate,1999M11,15 - 24 years,Male,%,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999M11,15 - 24 years,Female,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,1999M11,15 - 74 years,Both sexes,%,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999M11,15 - 74 years,Male,%,5
Seasonally Adjusted Monthly Unemployment Rate,1999M11,15 - 74 years,Female,%,6
Seasonally Adjusted Monthly Unemployment Rate,1999M11,25 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,1999M11,25 - 74 years,Male,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,1999M11,25 - 74 years,Female,%,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999M12,15 - 24 years,Both sexes,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,1999M12,15 - 24 years,Male,%,7.9
Seasonally Adjusted Monthly Unemployment Rate,1999M12,15 - 24 years,Female,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,1999M12,15 - 74 years,Both sexes,%,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999M12,15 - 74 years,Male,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,1999M12,15 - 74 years,Female,%,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999M12,25 - 74 years,Both sexes,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,1999M12,25 - 74 years,Male,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,1999M12,25 - 74 years,Female,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,2000M01,15 - 24 years,Both sexes,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,2000M01,15 - 24 years,Male,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,2000M01,15 - 24 years,Female,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,2000M01,15 - 74 years,Both sexes,%,5
Seasonally Adjusted Monthly Unemployment Rate,2000M01,15 - 74 years,Male,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2000M01,15 - 74 years,Female,%,5.5
Seasonally Adjusted Monthly Unemployment Rate,2000M01,25 - 74 years,Both sexes,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,2000M01,25 - 74 years,Male,%,4
Seasonally Adjusted Monthly Unemployment Rate,2000M01,25 - 74 years,Female,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2000M02,15 - 24 years,Both sexes,%,7.4
Seasonally Adjusted Monthly Unemployment Rate,2000M02,15 - 24 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M02,15 - 24 years,Female,%,7.8
Seasonally Adjusted Monthly Unemployment Rate,2000M02,15 - 74 years,Both sexes,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2000M02,15 - 74 years,Male,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2000M02,15 - 74 years,Female,%,5.3
Seasonally Adjusted Monthly Unemployment Rate,2000M02,25 - 74 years,Both sexes,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2000M02,25 - 74 years,Male,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2000M02,25 - 74 years,Female,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2000M03,15 - 24 years,Both sexes,%,7.3
Seasonally Adjusted Monthly Unemployment Rate,2000M03,15 - 24 years,Male,%,7
Seasonally Adjusted Monthly Unemployment Rate,2000M03,15 - 24 years,Female,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,2000M03,15 - 74 years,Both sexes,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2000M03,15 - 74 years,Male,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2000M03,15 - 74 years,Female,%,5.1
Seasonally Adjusted Monthly Unemployment Rate,2000M03,25 - 74 years,Both sexes,%,4
Seasonally Adjusted Monthly Unemployment Rate,2000M03,25 - 74 years,Male,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2000M03,25 - 74 years,Female,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,2000M04,15 - 24 years,Both sexes,%,7.3
Seasonally Adjusted Monthly Unemployment Rate,2000M04,15 - 24 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M04,15 - 24 years,Female,%,7.5
Seasonally Adjusted Monthly Unemployment Rate,2000M04,15 - 74 years,Both sexes,%,4.9
Seasonally Adjusted Monthly Unemployment Rate,2000M04,15 - 74 years,Male,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2000M04,15 - 74 years,Female,%,5.4
Seasonally Adjusted Monthly Unemployment Rate,2000M04,25 - 74 years,Both sexes,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2000M04,25 - 74 years,Male,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2000M04,25 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2000M05,15 - 24 years,Both sexes,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M05,15 - 24 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M05,15 - 24 years,Female,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M05,15 - 74 years,Both sexes,%,4.7
Seasonally Adjusted Monthly Unemployment Rate,2000M05,15 - 74 years,Male,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2000M05,15 - 74 years,Female,%,5.2
Seasonally Adjusted Monthly Unemployment Rate,2000M05,25 - 74 years,Both sexes,%,4
Seasonally Adjusted Monthly Unemployment Rate,2000M05,25 - 74 years,Male,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2000M05,25 - 74 years,Female,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2000M06,15 - 24 years,Both sexes,%,7
Seasonally Adjusted Monthly Unemployment Rate,2000M06,15 - 24 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M06,15 - 24 years,Female,%,6.9
Seasonally Adjusted Monthly Unemployment Rate,2000M06,15 - 74 years,Both sexes,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2000M06,15 - 74 years,Male,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2000M06,15 - 74 years,Female,%,5
Seasonally Adjusted Monthly Unemployment Rate,2000M06,25 - 74 years,Both sexes,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2000M06,25 - 74 years,Male,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2000M06,25 - 74 years,Female,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2000M07,15 - 24 years,Both sexes,%,7
Seasonally Adjusted Monthly Unemployment Rate,2000M07,15 - 24 years,Male,%,7.2
Seasonally Adjusted Monthly Unemployment Rate,2000M07,15 - 24 years,Female,%,6.7
Seasonally Adjusted Monthly Unemployment Rate,2000M07,15 - 74 years,Both sexes,%,4.5
Seasonally Adjusted Monthly Unemployment Rate,2000M07,15 - 74 years,Male,%,4.3
Seasonally Adjusted Monthly Unemployment Rate,2000M07,15 - 74 years,Female,%,4.8
Seasonally Adjusted Monthly Unemployment Rate,2000M07,25 - 74 years,Both sexes,%,3.8
Seasonally Adjusted Monthly Unemployment Rate,2000M07,25 - 74 years,Male,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2000M07,25 - 74 years,Female,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2000M08,15 - 24 years,Both sexes,%,6.8
Seasonally Adjusted Monthly Unemployment Rate,2000M08,15 - 24 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,2000M08,15 - 24 years,Female,%,6.5
Seasonally Adjusted Monthly Unemployment Rate,2000M08,15 - 74 years,Both sexes,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2000M08,15 - 74 years,Male,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2000M08,15 - 74 years,Female,%,4.6
Seasonally Adjusted Monthly Unemployment Rate,2000M08,25 - 74 years,Both sexes,%,3.6
Seasonally Adjusted Monthly Unemployment Rate,2000M08,25 - 74 years,Male,%,3.4
Seasonally Adjusted Monthly Unemployment Rate,2000M08,25 - 74 years,Female,%,4
Seasonally Adjusted Monthly Unemployment Rate,2000M09,15 - 24 years,Both sexes,%,6.6
Seasonally Adjusted Monthly Unemployment Rate,2000M09,15 - 24 years,Male,%,6.7
Seasonally Adjusted Monthly Unemployment Rate,2000M09,15 - 24 years,Female,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,2000M09,15 - 74 years,Both sexes,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2000M09,15 - 74 years,Male,%,4.1
Seasonally Adjusted Monthly Unemployment Rate,2000M09,15 - 74 years,Female,%,4.4
Seasonally Adjusted Monthly Unemployment Rate,2000M09,25 - 74 years,Both sexes,%,3.5
Seasonally Adjusted Monthly Unemployment Rate,2000M09,25 - 74 years,Male,%,3.3
Seasonally Adjusted Monthly Unemployment Rate,2000M09,25 - 74 years,Female,%,3.7
Seasonally Adjusted Monthly Unemployment Rate,2000M10,15 - 24 years,Both sexes,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,2000M10,15 - 24 years,Male,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,2000M10,15 - 24 years,Female,%,6.4
Seasonally Adjusted Monthly Unemployment Rate,2000M10,15 - 74 years,Both sexes,%,4
Seasonally Adjusted Monthly Unemployment Rate,2000M10,15 - 74 years,Male,%,3.9
Seasonally Adjusted Monthly Unemployment Rate,2000M10,15 - 74 years,Female,%,4.2
Seasonally Adjusted Monthly Unemployment Rate,2000M10,25 - 74 years,Both sexes,%,3.3
Seasonally Adjusted Monthly Unemployment Rate,2000M10,25 - 74 years,Male,%,3.2
