"Statistic","CensusYear","Province County or City","UNIT","VALUE"
"Actual change in vacant dwellings","2016","Roscommon","Number","-510"
"Actual change in vacant dwellings","2016","Sligo","Number","-421"
"Actual change in vacant dwellings","2016","Ulster (part of)","Number","-1296"
"Actual change in vacant dwellings","2016","Cavan","Number","-1115"
"Actual change in vacant dwellings","2016","Donegal","Number","-97"
"Actual change in vacant dwellings","2016","Monaghan","Number","-84"
"Percentage change in vacant dwellings","2016","State","%","-10.3"
"Percentage change in vacant dwellings","2016","Leinster","%","-15.5"
"Percentage change in vacant dwellings","2016","Carlow","%","-24.5"
"Percentage change in vacant dwellings","2016","Dublin","%","-16"
"Percentage change in vacant dwellings","2016","Dublin City","%","-11.6"
"Percentage change in vacant dwellings","2016","Dún Laoghaire-Rathdown","%","-22.2"
"Percentage change in vacant dwellings","2016","Fingal","%","-18.7"
"Percentage change in vacant dwellings","2016","South Dublin","%","-24.8"
"Percentage change in vacant dwellings","2016","Kildare","%","-19"
"Percentage change in vacant dwellings","2016","Kilkenny","%","-19.4"
"Percentage change in vacant dwellings","2016","Laois","%","-19.2"
"Percentage change in vacant dwellings","2016","Longford","%","-19.5"
"Percentage change in vacant dwellings","2016","Louth","%","-19.7"
"Percentage change in vacant dwellings","2016","Meath","%","-13.7"
"Percentage change in vacant dwellings","2016","Offaly","%","-17"
"Percentage change in vacant dwellings","2016","Westmeath","%","-11.9"
"Percentage change in vacant dwellings","2016","Wexford","%","-8.1"
"Percentage change in vacant dwellings","2016","Wicklow","%","-12.6"
"Percentage change in vacant dwellings","2016","Munster","%","-10.2"
"Percentage change in vacant dwellings","2016","Clare","%","-4.8"
"Percentage change in vacant dwellings","2016","Cork","%","-14.8"
"Percentage change in vacant dwellings","2016","Cork City","%","-26.2"
"Percentage change in vacant dwellings","2016","Cork County","%","-12.2"
"Percentage change in vacant dwellings","2016","Kerry","%","-7.4"
"Percentage change in vacant dwellings","2016","Limerick","%","-12.4"
"Percentage change in vacant dwellings","2016","Limerick City","%","-21.1"
"Percentage change in vacant dwellings","2016","Limerick County","%","-8.3"
"Percentage change in vacant dwellings","2016","North Tipperary","%","-5.4"
"Percentage change in vacant dwellings","2016","South Tipperary","%","-3.7"
"Percentage change in vacant dwellings","2016","Waterford","%","-9.9"
"Percentage change in vacant dwellings","2016","Waterford City","%","-16.7"
"Percentage change in vacant dwellings","2016","Waterford County","%","-5.8"
"Percentage change in vacant dwellings","2016","Connacht","%","-4.6"
"Percentage change in vacant dwellings","2016","Galway","%","-6.3"
"Percentage change in vacant dwellings","2016","Galway City","%","-2.2"
"Percentage change in vacant dwellings","2016","Galway County","%","-7.3"
"Percentage change in vacant dwellings","2016","Leitrim","%","-2.7"
"Percentage change in vacant dwellings","2016","Mayo","%","-1.7"
"Percentage change in vacant dwellings","2016","Roscommon","%","-7"
"Percentage change in vacant dwellings","2016","Sligo","%","-5.7"
"Percentage change in vacant dwellings","2016","Ulster (part of)","%","-3.7"
"Percentage change in vacant dwellings","2016","Cavan","%","-15.3"
"Percentage change in vacant dwellings","2016","Donegal","%","-0.4"
"Percentage change in vacant dwellings","2016","Monaghan","%","-2.5"
