"Statistic","CensusYear","Province County or City","UNIT","VALUE"
"Other vacant dwellings 2011","2016","Kilkenny","Number","4223"
"Other vacant dwellings 2011","2016","Laois","Number","3938"
"Other vacant dwellings 2011","2016","Longford","Number","3758"
"Other vacant dwellings 2011","2016","Louth","Number","5613"
"Other vacant dwellings 2011","2016","Meath","Number","5876"
"Other vacant dwellings 2011","2016","Offaly","Number","3402"
"Other vacant dwellings 2011","2016","Westmeath","Number","4621"
"Other vacant dwellings 2011","2016","Wexford","Number","7414"
"Other vacant dwellings 2011","2016","Wicklow","Number","4286"
"Other vacant dwellings 2011","2016","Munster","Number","69078"
"Other vacant dwellings 2011","2016","Clare","Number","7172"
"Other vacant dwellings 2011","2016","Cork","Number","25987"
"Other vacant dwellings 2011","2016","Cork City","Number","6108"
"Other vacant dwellings 2011","2016","Cork County","Number","19879"
"Other vacant dwellings 2011","2016","Kerry","Number","11517"
"Other vacant dwellings 2011","2016","Limerick","Number","9661"
"Other vacant dwellings 2011","2016","Limerick City","Number","3263"
"Other vacant dwellings 2011","2016","Limerick County","Number","6398"
"Other vacant dwellings 2011","2016","North Tipperary","Number","3848"
"Other vacant dwellings 2011","2016","South Tipperary","Number","4380"
"Other vacant dwellings 2011","2016","Waterford","Number","6513"
"Other vacant dwellings 2011","2016","Waterford City","Number","3241"
"Other vacant dwellings 2011","2016","Waterford County","Number","3272"
"Other vacant dwellings 2011","2016","Connacht","Number","43005"
"Other vacant dwellings 2011","2016","Galway","Number","15364"
"Other vacant dwellings 2011","2016","Galway City","Number","3572"
"Other vacant dwellings 2011","2016","Galway County","Number","11792"
"Other vacant dwellings 2011","2016","Leitrim","Number","4036"
"Other vacant dwellings 2011","2016","Mayo","Number","11776"
"Other vacant dwellings 2011","2016","Roscommon","Number","6270"
"Other vacant dwellings 2011","2016","Sligo","Number","5559"
"Other vacant dwellings 2011","2016","Ulster (part of)","Number","22870"
"Other vacant dwellings 2011","2016","Cavan","Number","6277"
"Other vacant dwellings 2011","2016","Donegal","Number","13360"
"Other vacant dwellings 2011","2016","Monaghan","Number","3233"
"Total vacant dwellings 2011","2016","State","Number","289451"
"Total vacant dwellings 2011","2016","Leinster","Number","106658"
"Total vacant dwellings 2011","2016","Carlow","Number","3202"
"Total vacant dwellings 2011","2016","Dublin","Number","43707"
"Total vacant dwellings 2011","2016","Dublin City","Number","24638"
"Total vacant dwellings 2011","2016","Dún Laoghaire-Rathdown","Number","6616"
"Total vacant dwellings 2011","2016","Fingal","Number","7204"
"Total vacant dwellings 2011","2016","South Dublin","Number","5249"
"Total vacant dwellings 2011","2016","Kildare","Number","6311"
"Total vacant dwellings 2011","2016","Kilkenny","Number","4624"
"Total vacant dwellings 2011","2016","Laois","Number","4087"
"Total vacant dwellings 2011","2016","Longford","Number","4075"
"Total vacant dwellings 2011","2016","Louth","Number","6232"
"Total vacant dwellings 2011","2016","Meath","Number","6173"
"Total vacant dwellings 2011","2016","Offaly","Number","3620"
"Total vacant dwellings 2011","2016","Westmeath","Number","4921"
"Total vacant dwellings 2011","2016","Wexford","Number","14329"
"Total vacant dwellings 2011","2016","Wicklow","Number","5377"
"Total vacant dwellings 2011","2016","Munster","Number","92885"
"Total vacant dwellings 2011","2016","Clare","Number","11782"
"Total vacant dwellings 2011","2016","Cork","Number","33329"
"Total vacant dwellings 2011","2016","Cork City","Number","6168"
"Total vacant dwellings 2011","2016","Cork County","Number","27161"
"Total vacant dwellings 2011","2016","Kerry","Number","19719"
"Total vacant dwellings 2011","2016","Limerick","Number","10114"
"Total vacant dwellings 2011","2016","Limerick City","Number","3273"
"Total vacant dwellings 2011","2016","Limerick County","Number","6841"
"Total vacant dwellings 2011","2016","North Tipperary","Number","4527"
"Total vacant dwellings 2011","2016","South Tipperary","Number","4817"
"Total vacant dwellings 2011","2016","Waterford","Number","8597"
"Total vacant dwellings 2011","2016","Waterford City","Number","3300"
"Total vacant dwellings 2011","2016","Waterford County","Number","5297"
"Total vacant dwellings 2011","2016","Connacht","Number","55237"
"Total vacant dwellings 2011","2016","Galway","Number","18821"
"Total vacant dwellings 2011","2016","Galway City","Number","3755"
"Total vacant dwellings 2011","2016","Galway County","Number","15066"
"Total vacant dwellings 2011","2016","Leitrim","Number","5526"
"Total vacant dwellings 2011","2016","Mayo","Number","16230"
"Total vacant dwellings 2011","2016","Roscommon","Number","7332"
"Total vacant dwellings 2011","2016","Sligo","Number","7328"
"Total vacant dwellings 2011","2016","Ulster (part of)","Number","34671"
"Total vacant dwellings 2011","2016","Cavan","Number","7277"
"Total vacant dwellings 2011","2016","Donegal","Number","23996"
"Total vacant dwellings 2011","2016","Monaghan","Number","3398"
"Vacancy Rate - 2011","2016","State","%","14.4"
"Vacancy Rate - 2011","2016","Leinster","%","10.3"
"Vacancy Rate - 2011","2016","Carlow","%","13.8"
"Vacancy Rate - 2011","2016","Dublin","%","8.3"
"Vacancy Rate - 2011","2016","Dublin City","%","10.2"
"Vacancy Rate - 2011","2016","Dún Laoghaire-Rathdown","%","7.7"
